Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
SPACA5	No	Yes	No	No
SPARCL1	No	Yes	No	No
SRPX	No	Yes	No	No
ST6GAL1	No	Yes	No	No
TECTA	No	Yes	No	No
TEK	No	Yes	No	No
TFPI	No	Yes	No	No
TGFBR2	No	Yes	No	Yes
TGFBR3	No	Yes	No	No
THBS1	No	Yes	No	No
THSD4	No	Yes	No	No
TIMP3	No	Yes	No	No
TIMP4	No	Yes	No	No
TLL1	No	Yes	No	No
TNXB	No	Yes	No	No
TSHB	No	Yes	No	No
TULP2	No	Yes	No	Yes
VEGFB	No	Yes	No	No
VIT	No	Yes	No	No
WFDC1	No	Yes	No	No
WFIKKN2	No	Yes	No	No
ZBED3	No	Yes	No	Yes
CFH	Yes	No	Yes	Yes
TMEM119	Yes	No	Yes	No
HSPB6	No	No	Yes	No
COPZ2	No	No	Yes	No
RHBDF1	No	No	Yes	No
MRC2	No	No	Yes	No
MAP4K3	No	No	Yes	No
MAP4K5	No	No	Yes	No
SNAI2	No	No	Yes	No
TUBG2	No	No	Yes	No
CC2D2A	No	No	Yes	No
USP13	No	No	Yes	No
COL11A1	No	No	Yes	No
TRAM2	No	No	Yes	No
EML1	No	No	Yes	No
TRO	No	No	Yes	No
ABCC9	No	No	Yes	No
NEDD4	No	No	Yes	No
NDST1	No	No	Yes	No
LMCD1	No	No	Yes	No
CYBRD1	No	No	Yes	No
CRMP1	No	No	Yes	No
FRY	No	No	Yes	No
NOTCH3	No	No	Yes	No
RASAL2	No	No	Yes	No
RBMS2	No	No	Yes	No
ACACB	No	No	Yes	No
MCAM	No	No	Yes	No
FAP	No	No	Yes	Yes
RUNX1T1	No	No	Yes	No
MOXD1	No	No	Yes	No
EPYC	No	No	Yes	Yes
COL16A1	No	No	Yes	No
ADAMTS2	No	No	Yes	No
NID2	No	No	Yes	No
KLHL42	No	No	Yes	No
